id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
OVERSENSITIVE_4_49_54,OVERSENSITIVE,OXFORD,ELF,QI,BE,JAR,ZERO,OR,SO,NE,IF,DUE,ZETA,TEE,GO,GAL,RE,OR,HI,NE,AT,OLE,NEWTS,ME,TO,WE,EDDY,RYE,ONLY,ROT,SWAM,BANJO,OXIDE,EARWIG,YIP,FAB,CURB,ON,NE,IT,UP,DO,LACK,LIT,ON,ILK,DO,GRAVITAS,GUSTY,THY,US,ZEST,JEER,INK,HI,AT,TAU,DIE,CHUG,HI,NE,UP,QI,NU,NU,JAM,RE,ID,AM,,,,,,,,,,,,,,,,,,,,,,
CONFEDERATIONS_3_38_15,CONFEDERATIONS,ACERBITY,AN,GO,ON,CAD,IT,NO,FUR,AH,ID,QI,PAY,TYPIFY,KIDS,AT,AH,RE,AXE,IN,DUPLEX,VIGOROUS,VOWS,IF,ABJURED,JAG,YEAH,QUIRE,WOOL,HI,WE,ZEST,ZAG,ELMS,ELM,DO,ID,URN,NU,RE,IT,IS,IS,DOR,OR,ME,SLEW,NE,IT,KING,UP,WE,NE,FEZ,HUTS,AT,AH,IF,OVA,BOAT,JAMB,JET,NEXT,OX,SO,ELM,,,,,,,,,,,,,,,,,,,,,,,,,
INHOMOGENEITY_12_33_38,INHOMOGENEITY,FIRING,MU,NU,QI,MY,SIR,TEDDY,CRY,TO,ADZE,MINX,RID,NU,GRADE,DO,SO,AH,COX,EH,CLAWS,ZAP,VET,HI,WE,VIES,EXCITES,AXE,QI,TWEET,ID,INFO,TO,ON,TASK,AMOK,BALD,OPT,SWEARERS,FOB,BURG,SO,NE,DAB,BAG,DOT,ON,VAT,NAVE,UPON,JAP,JAY,JOULE,ID,TILE,OK,IT,ERR,LEA,IF,VET,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QI_23_7_37,QI,QI,TAXI,ALIENATE,LOTION,LIEU,OLE,TO,BOA,BUS,US,RE,RECOVER,PORK,EGG,WE,TO,WE,MAKE,IS,GO,ALE,IT,STACK,JAR,JEEP,FEZ,BARB,OK,BUT,WE,HAD,MU,US,OX,LAX,RE,EH,ID,RUT,RE,HUT,YALE,HI,IT,QI,IT,SOY,ID,ENJOY,MY,OLD,NE,STY,SO,WADI,AT,AN,ENDOW,FEND,PEN,ID,NE,ID,FREEZERS,GOVERN,VET,MOD,AN,EH,IF,MAC,,,,,,,,,,,,,,,,,,,
DEFORESTATION_12_17_27,DEFORESTATION,EVICT,GLOW,JAG,NE,AS,PI,AXED,OX,GEM,RE,LIT,AN,ION,INVESTIGATORY,AVE,FUG,OX,FUND,TO,AS,WEANED,ICY,JADE,JAB,ID,WHAM,PUB,AH,PI,NO,EH,ID,ELK,AT,MAZE,ZOOS,BUNKS,BE,OK,IN,OF,QI,KEY,CYLINDERS,QI,FERN,PERT,NO,IS,OR,AN,RE,OEUVRE,ZEBUS,GUY,IS,IT,IS,HA,MU,ALT,IS,WE,WE,RE,,,,,,,,,,,,,,,,,,,,,,,,,
DECLAMATORY_8_57_0,DECLAMATORY,FOAMED,AUTO,JOY,EM,GAZE,EVE,OK,VIE,AS,WE,TAN,WIDEN,IF,ON,FIT,IF,RE,WE,WARD,ABOVE,DROPS,QI,QI,BARK,OK,NIGH,ID,THE,DUX,DO,TOE,TUB,NU,YET,YE,PAIR,EM,ON,ME,OH,ID,ON,JARS,NE,FAN,EVE,FRICTION,ELL,BIZ,AH,NE,HI,IT,US,GENII,TUG,AS,EH,GALES,NE,US,PI,IT,EXACT,WARD,YE,AT,YE,LOG,US,RE,AS,RE,,,,,,,,,,,,,,,,,
SERVICEABILITY_9_1_31,SERVICEABILITY,MORALE,SOW,IT,AT,BE,ID,AM,JOKERS,JOKE,FEW,FIG,VENUE,VENT,ETHYL,HI,NU,SO,GO,IN,RE,OVA,QI,ONWARDS,WRY,ODD,IS,ID,YEW,IT,AWE,AH,IT,YE,AGOG,TO,REV,INFRA,CLANG,IN,SO,RE,OR,AGE,DO,ACE,EXPOSED,AS,NE,RE,US,OX,PA,UP,ID,ICE,PLAQUE,QUIT,CZAR,BIZ,ID,EM,EM,AT,NAB,EH,OPT,NU,FENS,TO,,,,,,,,,,,,,,,,,,,,,
SELECTIVITY_5_59_45,SELECTIVITY,JUTE,JEHAD,OOZES,UVULA,AYE,AH,ID,OW,UP,TINGE,AM,EXTERIOR,WIRING,TORQUE,SIX,BE,UP,EM,OW,ID,HI,QI,URNS,PORKER,TOT,FROCKS,OLD,AM,ID,AN,NU,KNOB,AS,ACT,WE,AT,OR,ME,ABY,OF,DRY,AID,RE,FEE,UP,OAR,AT,NE,VISIT,HOP,JEERED,LAZY,KILN,WE,JOG,QI,FEZ,VOLTS,FANG,END,AH,EM,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIOCRITY_3_48_37,MEDIOCRITY,BETWIXT,GROG,EXTRASOLAR,WAX,VAN,PUNY,GUM,UP,FEW,FERN,ALT,ID,JOSTLING,SNEEZED,OF,DO,NU,TO,RE,AM,NO,RE,IT,MY,IF,WE,RE,EM,IT,ELF,OR,TO,GAVE,OF,AS,IN,QI,YOU,DAD,AT,HA,OK,ID,NU,AN,EH,RAZE,ZETA,HI,STOKE,NE,AKIN,YEA,HAY,HI,WE,NE,ID,WE,ID,PA,RAG,BE,BURLESQUE,ABJECT,OVA,CUPS,OR,,,,,,,,,,,,,,,,,,,,,,
MYSTIFIED_10_59_19,MYSTIFIED,BESIEGE,MOOT,FOE,QI,NE,EM,VENTRILOQUISTS,HAZARDING,ZEBRA,EXCEPT,VELD,BE,AT,CRAG,BE,DO,QI,VALE,AT,NU,SO,RE,AH,PI,SO,RE,RED,NE,SO,GOT,OW,ID,NU,BE,RAZOR,PROWL,PUT,JET,JUG,GNU,IT,OF,OF,SLY,JILT,WE,UNKIND,STY,IT,PI,NU,HA,IN,DO,OK,AT,HA,RE,AWAKE,OOH,DIM,AM,FAD,RE,AVER,COX,,,,,,,,,,,,,,,,,,,,,,,,
SUMMERTIME_11_51_57,SUMMERTIME,DYESTUFF,LAZIER,NEXT,KILT,WAY,TOWERING,GUY,DUG,DO,AM,IT,IF,OOZE,RE,RE,IT,IN,AGE,ZIG,COBRA,NIB,DO,EXCEL,OX,LYE,SHE,ID,IS,PI,GO,YEAST,BE,ON,CUB,AS,CUD,AN,GO,AS,DO,COAT,CAT,NEE,EVES,AVOID,QI,HAFT,BE,OVA,PA,RAJ,BE,OK,AS,HI,NO,TO,NE,JARS,EQUINE,JAVELIN,HEN,PA,OR,WE,AS,RID,,,,,,,,,,,,,,,,,,,,,,,
ELECTROCUTES_11_53_5,ELECTROCUTES,ORIGAMI,GIG,IT,IT,AS,RE,BE,GAD,OVA,TRIP,AN,AN,US,OW,MACAW,HID,EM,OXEN,DOZIER,HOLLY,AT,EM,DO,EH,AS,BRAVO,VAN,IS,DO,BIN,RE,WE,AN,NE,TUN,AT,OW,LOP,EYE,PI,SEC,QUIET,HUFF,RE,KNOT,PORK,NAP,DAN,JINKS,ILK,UFO,NE,EQUATED,JAG,GAZE,OR,AS,DO,DEE,OR,FIXATE,YEW,NE,JUTE,WILY,BY,,,,,,,,,,,,,,,,,,,,,,,,
INTERROGATOR_9_17_13,INTERROGATOR,NEUTER,OOZE,NO,OR,AT,AT,BOP,NE,QI,UNINJURED,JAVELINS,JEERING,WAVER,VOW,EH,AT,DO,YE,NE,US,AN,TAXIDERMY,KIEV,BLOCK,CHEW,THY,EVE,STEW,OFFICE,FIG,DUB,DIG,HAUL,OR,SEX,ME,AT,EM,ID,ZIG,IT,APEX,MU,DAYS,QUAILS,QUA,NU,SOP,IRKS,ARK,ON,TO,YE,LID,BAP,DO,IF,NO,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
